2021.05.31; 06:35:17; SET   ; INFO   ; ###########################################################################
2021.05.31; 06:35:17; SET   ; INFO   ; Expert:                        TraderAgent [GER30.cash] - 1300050632
2021.05.31; 06:35:17; SET   ; INFO   ; Symbol:                        GER30.cash
2021.05.31; 06:35:17; SET   ; INFO   ; Period:                        M15
2021.05.31; 06:35:17; SET   ; INFO   ; Account Company:               FF Trader S.R.O.
2021.05.31; 06:35:17; SET   ; INFO   ; Account Currency:              USD
2021.05.31; 06:35:17; SET   ; INFO   ; Account Leverage:              100
2021.05.31; 06:35:17; SET   ; INFO   ; Account Server:                FTMO-Server2
2021.05.31; 06:35:17; SET   ; INFO   ; Expert Enabled:                True
2021.05.31; 06:35:17; SET   ; INFO   ; Trade Allowed                  True
2021.05.31; 06:35:17; SET   ; INFO   ; Dll Allowed                    True
2021.05.31; 06:35:17; SET   ; INFO   ; Demo:                          True
2021.05.31; 06:35:17; SET   ; INFO   ; Testing:                       False
2021.05.31; 06:35:17; SET   ; INFO   ;  
2021.05.31; 06:35:17; SET   ; INFO   ; Digits:                        2
2021.05.31; 06:35:17; SET   ; INFO   ; Spread:                        230.0
2021.05.31; 06:35:17; SET   ; INFO   ; Point:                         0.01000000
2021.05.31; 06:35:17; SET   ; INFO   ; Stop level:                    0.0
2021.05.31; 06:35:17; SET   ; INFO   ; Lot size:                      10
2021.05.31; 06:35:17; SET   ; INFO   ; Minimum LOT:                   0.01000
2021.05.31; 06:35:17; SET   ; INFO   ; Maximum LOT:                   1000
2021.05.31; 06:35:17; SET   ; INFO   ; Lot step:                      0.010
2021.05.31; 06:35:17; SET   ; INFO   ; Lot cost (init):               0.00
2021.05.31; 06:35:17; SET   ; INFO   ; Lot cost (req):                3775.31
2021.05.31; 06:35:17; SET   ; INFO   ; Lot cost (maintenance):        0.00
2021.05.31; 06:35:17; SET   ; INFO   ; Lot cost (hedged):             0.00
2021.05.31; 06:35:17; SET   ; INFO   ; Tick value:                    0.12199000
2021.05.31; 06:35:17; SET   ; INFO   ; Tick size:                     0.01000000
2021.05.31; 06:35:17; SET   ; INFO   ; ###########################################################################
2021.05.31; 06:35:17; SET   ; INFO   ; Log level:                     TRACE  
2021.05.31; 06:35:17; NORMAL; TRACE  ; Pip multiplier (auto): 100, Digits: 2
2021.05.31; 06:35:17; NORMAL; INFO   ; Product version: v2.6.0 Build 360
2021.05.31; 06:35:17; NORMAL; INFO   ; IceLock DLL version: 2.6.0.313
2021.05.31; 06:35:17; NORMAL; INFO   ; IceLock fingerprint: 2C7D41D7E5A7E0904B17A8A2EE182960FFBA3C3E
2021.05.31; 06:35:18; NORMAL; SUCCESS; ***************************************************************************
2021.05.31; 06:35:18; NORMAL; SUCCESS; *** Your COMPUTER ID: 934FDE03ABE08E0ED58DEE86C1DE299D626B9484
2021.05.31; 06:35:18; NORMAL; SUCCESS; ***************************************************************************
2021.05.31; 06:35:18; NORMAL; TRACE  ; Delete predefined lines...
2021.05.31; 06:35:18; NORMAL; TRACE  ; #5981240: NO global SL, and NO chart line SL, reset from OrderStopLoss: 15534.23
2021.05.31; 06:35:18; NORMAL; TRACE  ; #5981240: NO global TP, and NO chart line TP, set the default TakeProfit
2021.05.31; 06:35:19; ORDER ; INFO   ; Modify order! Ticket #5981240:  Type: SELL, LOT: 0.11, OpenPrice: 15478.35, ClosePrice: 15473.65, Pips: 470.0, SL: 15534.23 (5588.0), TP: 15398.35 (8000.0), Magic: 0, Comment: , Swap: 0.00, Commission: -0.21, OpenTime: 2021.05.31 05:58:32
2021.05.31; 06:37:16; NORMAL; TRACE  ; Toolbar 'Show/hide control lines' state changed to Off
2021.05.31; 06:37:18; NORMAL; TRACE  ; #5981240: Chart SL line deleted! Create again. Global price: 15534.23
