2021.06.01; 01:52:07; SET   ; INFO   ; ###########################################################################
2021.06.01; 01:52:07; SET   ; INFO   ; Expert:                        TraderAgent [EURUSD] - 1300050632
2021.06.01; 01:52:07; SET   ; INFO   ; Symbol:                        EURUSD
2021.06.01; 01:52:07; SET   ; INFO   ; Period:                        M15
2021.06.01; 01:52:07; SET   ; INFO   ; Account Company:               FF Trader S.R.O.
2021.06.01; 01:52:07; SET   ; INFO   ; Account Currency:              USD
2021.06.01; 01:52:07; SET   ; INFO   ; Account Leverage:              100
2021.06.01; 01:52:07; SET   ; INFO   ; Account Server:                FTMO-Server2
2021.06.01; 01:52:07; SET   ; INFO   ; Expert Enabled:                False
2021.06.01; 01:52:07; SET   ; INFO   ; Trade Allowed                  False
2021.06.01; 01:52:07; SET   ; INFO   ; Dll Allowed                    True
2021.06.01; 01:52:07; SET   ; INFO   ; Demo:                          True
2021.06.01; 01:52:07; SET   ; INFO   ; Testing:                       False
2021.06.01; 01:52:07; SET   ; INFO   ;  
2021.06.01; 01:52:07; SET   ; INFO   ; Digits:                        5
2021.06.01; 01:52:07; SET   ; INFO   ; Spread:                        4.0
2021.06.01; 01:52:07; SET   ; INFO   ; Point:                         0.00001000
2021.06.01; 01:52:07; SET   ; INFO   ; Stop level:                    0.0
2021.06.01; 01:52:07; SET   ; INFO   ; Lot size:                      100000
2021.06.01; 01:52:07; SET   ; INFO   ; Minimum LOT:                   0.01000
2021.06.01; 01:52:07; SET   ; INFO   ; Maximum LOT:                   1000
2021.06.01; 01:52:07; SET   ; INFO   ; Lot step:                      0.010
2021.06.01; 01:52:07; SET   ; INFO   ; Lot cost (init):               0.00
2021.06.01; 01:52:07; SET   ; INFO   ; Lot cost (req):                1223.08
2021.06.01; 01:52:07; SET   ; INFO   ; Lot cost (maintenance):        0.00
2021.06.01; 01:52:07; SET   ; INFO   ; Lot cost (hedged):             0.00
2021.06.01; 01:52:07; SET   ; INFO   ; Tick value:                    1.00000000
2021.06.01; 01:52:07; SET   ; INFO   ; Tick size:                     0.00001000
2021.06.01; 01:52:07; SET   ; INFO   ; ###########################################################################
2021.06.01; 01:52:07; SET   ; INFO   ; Log level:                     TRACE  
2021.06.01; 01:52:07; NORMAL; TRACE  ; Pip multiplier (auto): 10, Digits: 5
